Sucursal,Factura,Cotizacion,Estatus,Requisicion,"Salidas Material","Orden de fabricacion","Fecha de Factura","Fecha de Cotizacion",Parcial1,Parcial2,Parcial3,Parcial4,Parcial5
"La Noria",BB141038,,Entregado,,0,,"2023-09-04 07:45:25",,N3555,N3558,,,
"San Pablo",123439,A425791,Entregado,,1,,"2023-09-04 08:01:11",,,,,,
"La Noria",BB141045,BB141045,Entregado,,0,1113,"2023-09-04 08:22:07",,N3569,N3573,,,
"La Noria",BB141046,BB141050,Entregado,,1,1112,"2023-09-04 08:22:26",,,,,,
"La Noria",BB141047,BB141047,Entregado,,1,,"2023-09-04 08:36:02",,,,,,
"La Noria",BB132438,,Entregado,,0,,"2023-09-04 08:39:17",,N3553,,,,
"San Pablo",425710,,Entregado,,1,,"2023-09-04 08:42:35",,,,,,
"San Pablo",A425711,,Entregado,5509,1,1929,"2023-09-04 08:44:27","2023-09-07 02:10:45",N17645,,,,
"San Pablo",A425712,,Entregado,,0,,"2023-09-04 08:44:36",,,,,,
"San Pablo",123474,A425783,Entregado,,1,,"2023-09-04 08:47:31",,.,,,,
"San Pablo",425713,,Entregado,,1,,"2023-09-04 08:51:42",,,,,,
"San Pablo",A425714,,Entregado,5515,1,,"2023-09-04 08:52:29","2023-09-07 07:27:30",N17639,,,,
"La Noria",BB141048,,Entregado,,1,,"2023-09-04 08:58:58",,,,,,
"San Pablo",123483,A425798,Entregado,,1,,"2023-09-04 09:11:46",,,,,,
"San Pablo",123484,A425796,Entregado,,1,,"2023-09-04 09:11:56",,,,,,
"San Pablo",425721,A425721,Entregado,,1,,"2023-09-04 09:15:17",,,,,,
"La Noria",BB141051,,Entregado,,1,,"2023-09-04 09:39:05",,,,,,
"San Pablo",A425724,A425724,Entregado,,1,,"2023-09-04 09:49:28",,,,,,
"San Pablo",A425702,,Entregado,,1,,"2023-09-04 09:49:28",,,,,,
"San Pablo",425727,,Entregado,,1,,"2023-09-04 09:50:56",,,,,,
"San Pablo",A425697,,Entregado,5495,1,,"2023-09-04 09:52:20","2023-09-05 05:06:27",N17620,,,,
"San Pablo",425728,A425728,Entregado,,1,,"2023-09-04 09:54:05",,,,,,
"San Pablo",A425729,A425729,Entregado,,1,,"2023-09-04 09:57:36",,,,,,
"San Pablo",425730,A425730,Entregado,,1,,"2023-09-04 09:58:43",,,,,,
"La Noria",N59713,,"Pedido generado",,0,,"2023-09-04 10:16:30",,,,,,
"La Noria",N59713,,"Recibido por embarques",,0,,"2023-09-04 10:21:55",,N17619,,,,
"San Pablo",A425735,,"Pedido generado",5493,0,,"2023-09-04 10:24:17","2023-09-04 10:50:48",N17615,,,,
"San Pablo",425738,,Entregado,,1,,"2023-09-04 10:26:56",,,,,,
"La Noria",BB141056,BB141056,Entregado,,1,,"2023-09-04 10:31:12",,,,,,
"San Pablo",425741,A425741,Entregado,,1,1931,"2023-09-04 10:38:02",,,,,,
"San Pablo",123506,A425771,Entregado,,1,,"2023-09-04 10:38:50",,,,,,
"San Pablo",A425733,A425733,Entregado,,1,,"2023-09-04 10:40:08",,,,,,
"San Pablo",A425734,A425734,Entregado,,1,,"2023-09-04 10:40:22",,,,,,
"San Pablo",A425740,A425740,Entregado,,1,,"2023-09-04 10:40:41",,,,,,
"San Pablo",A425742,A425742,Entregado,,1,,"2023-09-04 10:40:55",,,,,,
"San Pablo",A425743,A425743,Entregado,,1,,"2023-09-04 10:41:08",,,,,,
"La Noria",BB141057,,Entregado,,1,,"2023-09-04 10:57:59",,,,,,
"San Pablo",17862,,"En ruta",,1,,"2023-09-04 11:07:05",,,,,,
"San Pablo",A425748,A425748,Entregado,,1,,"2023-09-04 11:17:55",,,,,,
"La Noria",BB141063,,Entregado,,1,,"2023-09-04 11:19:36",,,,,,
"San Pablo",425750,,"Pedido generado",,0,,"2023-09-04 11:25:02",,,,,,
"La Noria",N59546,,"Recibido por embarques",,0,,"2023-09-04 11:32:56",,N17619,,,,
"La Noria",BB141052,,Entregado,,1,,"2023-09-04 11:33:23",,,,,,
"La Noria",BB141064,,Entregado,,1,,"2023-09-04 11:34:11",,,,,,
"La Noria",BB141058,,Entregado,,1,1114,"2023-09-04 11:34:57",,,,,,
"La Noria",BB141055,,Entregado,,1,1115,"2023-09-04 11:37:37",,,,,,
"La Noria",59723,141395,Devolución,,0,1116,"2023-09-04 11:44:17",,,,,,
"San Pablo",425755,A425755,Entregado,,1,,"2023-09-04 11:46:36",,,,,,
"San Pablo",122130,A425801,Entregado,,0,,"2023-09-04 11:58:20",,,,,,
"San Pablo",17864,,Entregado,,0,,"2023-09-04 12:09:01",,,,,,
"San Pablo",123550,141160,Entregado,,1,,"2023-09-05 01:53:32",,"Evidencia de ticket",,,,
"La Noria",BB141066,,Entregado,,1,,"2023-09-05 02:31:48",,,,,,
"San Pablo",425759,,Entregado,,1,,"2023-09-05 02:36:56",,,,,,
"La Noria",BB141067,BB141067,"Pedido generado",N003157,0,,"2023-09-05 02:45:03","2023-09-05 03:08:10",,,,,
"San Pablo",A425766,,Fabricado,,0,,"2023-09-05 02:50:37",,,,,,
"La Noria",N59292,,Fabricado,,0,1117,"2023-09-05 02:51:12",,,,,,
"San Pablo",A425772,,Entregado,,1,1936,"2023-09-05 02:59:49",,,,,,
"San Pablo",123562,426110,Entregado,,1,,"2023-09-05 03:01:46",,,,,,
"San Pablo",123564,426113,Entregado,,1,,"2023-09-05 03:01:59",,,,,,
"San Pablo",A425715,,Fabricado,,0,1930,"2023-09-05 03:03:55",,,,,,
"San Pablo",A425746,A425746,Entregado,,1,,"2023-09-05 03:07:12",,,,,,
"La Noria",BB141069,BB141069,Entregado,,1,,"2023-09-05 03:12:05",,,,,,
"San Pablo",17865,,"En ruta",,1,,"2023-09-05 03:14:08",,,,,,
"La Noria",BB141071,,Entregado,,1,,"2023-09-05 03:15:51",,,,,,
"La Noria",BB141059,,Entregado,N003158,0,,"2023-09-05 03:26:05","2023-09-05 03:26:19",17866,N3559,N3575,,
"San Pablo",A425778,,Entregado,,1,,"2023-09-05 03:28:36",,,,,,
"San Pablo",123561,425960,Entregado,,1,,"2023-09-05 03:47:44",,,,,,
"San Pablo",A425781,,Entregado,,1,,"2023-09-05 03:54:49",,,,,,
"San Pablo",123575,,Fabricado,,0,1933,"2023-09-05 03:59:22",,,,,,
"La Noria",BB141062,BB141062,Entregado,,1,,"2023-09-05 04:07:06",,,,,,
"La Noria",BB141077,,Entregado,,1,,"2023-09-05 04:31:15",,,,,,
"San Pablo",A425795,,Entregado,,1,,"2023-09-05 04:31:23",,,,,,
"San Pablo",A425328,,Entregado,,1,,"2023-09-05 04:33:19",,,,,,
"San Pablo",A425803,,Fabricado,,0,1937,"2023-09-05 04:35:53",,,,,,
"San Pablo",A425802,,"En ruta",,1,,"2023-09-05 04:36:01",,,,,,
"San Pablo",425805,,Entregado,,1,,"2023-09-05 04:40:15",,,,,,
"San Pablo",425810,,Entregado,,1,,"2023-09-05 04:45:54",,,,,,
"San Pablo",A425809,A425809,Entregado,,1,,"2023-09-05 04:49:00",,,,,,
"San Pablo",425811,,"Pedido generado",,0,,"2023-09-05 04:57:52",,,,,,
"La Noria",BB141086,BB141086,Entregado,,0,1118,"2023-09-05 05:09:14",,,,,,
"San Pablo",425813,,Fabricado,,0,,"2023-09-05 05:11:02",,,,,,
"San Pablo",123625,,"Pedido generado",5498,0,,"2023-09-05 05:12:53","2023-09-05 05:52:59",N17626,,,,
"San Pablo",A425816,,"Pedido generado",5499,0,,"2023-09-05 05:14:42","2023-09-05 06:21:36",N17623,,,,
"San Pablo",425815,,Entregado,,1,,"2023-09-05 05:21:34",,,,,,
"San Pablo",425817,,Entregado,5550,0,1144,"2023-09-05 05:23:49","2023-09-12 04:28:06",N17676,,,,
"San Pablo",A425825,,"Pedido generado",,0,,"2023-09-05 05:34:29",,,,,,
"La Noria",BB141093,,Entregado,,1,,"2023-09-05 05:38:27",,,,,,
"San Pablo",A425827,,Entregado,5524,0,1133,"2023-09-05 05:38:36","2023-09-08 04:36:48",N17647,,,,
"San Pablo",A425821,,Entregado,,1,,"2023-09-05 05:39:12",,,,,,
"La Noria",BB141094,BB141094,Entregado,,1,,"2023-09-05 05:42:30",,,,,,
"La Noria",BB141090,BB141090,Entregado,,1,1119,"2023-09-05 05:43:11",,,,,,
"San Pablo",A425830,,Entregado,5530,0,1938,"2023-09-05 05:45:06","2023-09-09 03:19:45","OF 1132  CORTE HSS NORIA",N17650,,,
"La Noria",BB141095,,Entregado,,1,1120,"2023-09-05 05:47:44",,,,,,
"San Pablo",A425834,,Entregado,,1,,"2023-09-05 05:55:57",,,,,,
"La Noria",59741,141168,"Pedido generado",,0,,"2023-09-05 06:06:26",,N3564,,,,
"San Pablo",123643,425946,Entregado,,1,,"2023-09-05 06:06:30",,,,,,
"San Pablo",425837,,"Pedido generado",,0,,"2023-09-05 06:08:26",,,,,,
"La Noria",59773,141169,Entregado,,1,,"2023-09-05 06:08:58",,,,,,
"La Noria",N59771,,Fabricado,,0,1121,"2023-09-05 06:10:19",,,,,,
"La Noria",BB141085,,Entregado,,1,1122,"2023-09-05 06:10:43",,,,,,
"San Pablo",425839,,Entregado,,1,,"2023-09-05 06:11:46",,,,,,
"San Pablo",A425843,,Entregado,,1,,"2023-09-05 06:15:09",,,,,,
